bucket,title,groups,xmlUrl,htmlUrl,description
Big Vendor Blogs,OpenAI Blog,"all,articles",https://openai.com/news/rss.xml,,
Big Vendor Blogs,Anthropic News,"all,articles",https://rsshub.bestblogs.dev/anthropic/news,,
Big Vendor Blogs,Google DeepMind Blog,"all,articles",https://deepmind.com/blog/feed/basic/,,
Big Vendor Blogs,AI at Meta Blog,"all,articles",https://rsshub.app/meta/ai/blog,,
Big Vendor Blogs,Engineering at Meta,"all,articles",https://engineering.fb.com/feed/,,
Big Vendor Blogs,Google Cloud Blog,"all,articles",https://cloudblog.withgoogle.com/rss/,,
Big Vendor Blogs,Google Developers Blog,"all,articles",https://developers.googleblog.com/feeds/posts/default,,
Big Vendor Blogs,The Keyword (blog.google),"all,articles",https://blog.google/rss,,
Big Vendor Blogs,Microsoft Research Blog,"all,articles",http://research.microsoft.com/rss/news.xml,,
Big Vendor Blogs,Microsoft Azure Blog,"all,articles",https://azure.microsoft.com/en-us/blog/feed/,,
Big Vendor Blogs,AWS Machine Learning Blog,"all,articles",https://aws.amazon.com/blogs/amazon-ai/feed/,,
Big Vendor Blogs,AWS Architecture Blog,"all,articles",http://www.awsarchitectureblog.com/atom.xml,,
Big Vendor Blogs,Hugging Face Blog,"all,articles",https://huggingface.co/blog/feed.xml,,
Big Vendor Blogs,LangChain Blog,"all,articles",https://blog.langchain.dev/rss/,,
Big Vendor Blogs,LlamaIndex Blog,"all,articles",https://www.llamaindex.ai/blog/feed,,
Big Vendor Blogs,Databricks,"all,articles",https://www.databricks.com/feed,,
Big Vendor Blogs,The Cloudflare Blog,"all,articles",https://blog.cloudflare.com/rss,,
Big Vendor Blogs,The GitHub Blog,"all,articles",https://github.blog/feed/,,
Big Vendor Blogs,Docker,"all,articles",https://www.docker.com/feed/,,
Big Vendor Blogs,Grafana Labs,"all,articles",https://grafana.com/categories/engineering/index.xml,,
Big Vendor Blogs,Vercel News,"all,articles",https://vercel.com/atom,,
Big Vendor Blogs,Groq,"all,articles",https://api.bestblogs.dev/feed/groqBlog,,
Big Vendor Blogs,DeepSeek,"all,articles",https://wechat2rss.bestblogs.dev/feed/1709da4f538d4ce4fb6d7a8ba1a5a1c297919601.xml,,
Big Vendor Blogs,百度AI,"all,articles",https://wechat2rss.bestblogs.dev/feed/d0767d885e6ba213344fb0c0408c51331e23a994.xml,,
Big Vendor Blogs,MiniMax 稀宇科技,"all,articles",https://wechat2rss.bestblogs.dev/feed/00306b171f754d463b28cf83f3ba086ad009b430.xml,,
Tech / AI News and Curated Blogs,Last Week in AI,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCKARTq-t5SPMzwtft8FWwnA,,
Tech / AI News and Curated Blogs,deeplearning.ai,"all,articles",https://rsshub.bestblogs.dev/deeplearning/the-batch,,
Tech / AI News and Curated Blogs,Latent Space,"all,articles",https://www.latent.space/feed,,
Tech / AI News and Curated Blogs,ByteByteGo Newsletter,"all,articles",https://blog.bytebytego.com/feed,,
Tech / AI News and Curated Blogs,Simon Willison's Weblog,"all,articles",https://simonwillison.net/atom/everything/,,
Tech / AI News and Curated Blogs,Martin Fowler,"all,articles",https://martinfowler.com/feed.atom,,
Tech / AI News and Curated Blogs,量子位,"all,articles",https://www.qbitai.com/feed,,
Tech / AI News and Curated Blogs,新智元,"all,articles",https://wechat2rss.bestblogs.dev/feed/e531a18b21c34cf787b83ab444eef659d7a980de.xml,,
Tech / AI News and Curated Blogs,机器之心,"all,articles",https://wechat2rss.bestblogs.dev/feed/8d97af31b0de9e48da74558af128a4673d78c9a3.xml,,
Tech / AI News and Curated Blogs,机器之心SOTA模型,"all,articles",https://wechat2rss.bestblogs.dev/feed/2f520471856d56c7b3a95cd09eb777149b32828a.xml,,
Tech / AI News and Curated Blogs,AI科技评论,"all,articles",https://wechat2rss.bestblogs.dev/feed/789e5fefb9cc2646ba7b680cb7a88378a34eb7a4.xml,,
Tech / AI News and Curated Blogs,AI前线,"all,articles",https://wechat2rss.bestblogs.dev/feed/25185b01482da0f485418ecb92e208b4416712fb.xml,,
Tech / AI News and Curated Blogs,AINLP,"all,articles",https://wechat2rss.bestblogs.dev/feed/875df1d1a991bf9250ba9813e3148f58ef2240d4.xml,,
Tech / AI News and Curated Blogs,DeepSeek,"all,articles",https://wechat2rss.bestblogs.dev/feed/1709da4f538d4ce4fb6d7a8ba1a5a1c297919601.xml,,
Tech / AI News and Curated Blogs,HelloGitHub,"all,articles",https://wechat2rss.bestblogs.dev/feed/e6cc80b97bf64eeef61cc5927c78ba6ce3356422.xml,,
Tech / AI News and Curated Blogs,逛逛GitHub,"all,articles",https://wechat2rss.bestblogs.dev/feed/38be32e5376d852c13d3383e4d7a757fd9a55ff6.xml,,
Tech / AI News and Curated Blogs,宝玉的分享,"all,articles",https://baoyu.io/feed.xml,,
Tech / AI News and Curated Blogs,卡尔的AI沃茨,"all,articles",https://wechat2rss.bestblogs.dev/feed/8a1fc997e5c742e91ad7c253836c28ca3a69ccb1.xml,,
Tech / AI News and Curated Blogs,歸藏的AI工具箱,"all,articles",https://wechat2rss.bestblogs.dev/feed/1c3e3571b1627d23ee9c64521a0b0a41d3fe2987.xml,,
Tech / AI News and Curated Blogs,AI产品黄叔,"all,articles",https://wechat2rss.bestblogs.dev/feed/1f1030491e15e5349aae42367513d6b3f70a8f8b.xml,,
Tech / AI News and Curated Blogs,ShowMeAI研究中心,"all,articles",https://wechat2rss.bestblogs.dev/feed/854a592a3bac3c2574d092daf4628cf65dfd1858.xml,,
Tech / AI News and Curated Blogs,山行AI,"all,articles",https://wechat2rss.bestblogs.dev/feed/98bc16b6f53902a2ab511b4faa3499e0a1c78eb1.xml,,
YouTube Channels,OpenAI,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCXZCJLdBC09xxGZ6gcdrc6A,,
YouTube Channels,Anthropic,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCrDwWp7EBBv4NwvScIpBDOA,,
YouTube Channels,Google DeepMind,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCP7jMXSY2xbc3KCAE0MHQ-A,,
YouTube Channels,Andrej Karpathy,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCXUPKJO5MZQN11PqgIvyuvQ,,
YouTube Channels,AI Explained,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCNJ1Ymd5yFuUPtn21xtRbbw,,
YouTube Channels,Last Week in AI,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCKARTq-t5SPMzwtft8FWwnA,,
YouTube Channels,Two Minute Papers,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCbfYPyITQ-7l4upoX8nvctg,,
YouTube Channels,Dwarkesh Patel,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCXl4i9dYBrFOabk0xGmbkRA,,
YouTube Channels,Lex Fridman,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCSHZKyawb77ixDdsGog4iWA,,
YouTube Channels,No Priors,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCSI7h9hydQ40K5MJHnCrQvw,,
YouTube Channels,Latent Space,"all,articles",https://www.latent.space/feed,,
YouTube Channels,AI Engineer,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCLKPca3kwwd-B59HNr-_lvA,,
YouTube Channels,LangChain,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCC-lyoTfSrcJzA1ab3APAgw,,
YouTube Channels,ByteByteGo,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCZgt6AzoyjslHTC9dz0UoTw,,
YouTube Channels,Fireship,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCsBjURrPoezykLs9EqgamOA,,
YouTube Channels,freeCodeCamp.org,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UC8butISFwT-Wl7EV0hUK0BQ,,
YouTube Channels,a16z,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UC9cn0TuPq4dnbTY-CBsm8XA,,
YouTube Channels,Y Combinator,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCcefcZRL2oaA_uBNeo5UOWg,,
YouTube Channels,Sequoia Capital,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCWrF0oN6unbXrWsTN7RctTw,,
YouTube Channels,Matthew Berman,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCawZsQWqfGSbCI5yjkdVkTA,,
YouTube Channels,Matt Wolfe,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UChpleBmo18P08aKCIgti38g,,
YouTube Channels,Wes Roth,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UCqcbQf6yw5KzRoDDcZ_wBSw,,
YouTube Channels,Tina Huang,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UC2UXDak6o7rBm23k3Vv5dww,,
YouTube Channels,Hung-yi Lee,"all,videos",https://www.youtube.com/feeds/videos.xml?channel_id=UC2ggjtuuWvxrHHHiaDH1dlQ,,
X High-Signal Accounts,OpenAI(@OpenAI),"all,twitters",https://api.xgo.ing/rss/user/0c0856a69f9f49cf961018c32a0b0049,,
X High-Signal Accounts,OpenAI Developers(@OpenAIDevs),"all,twitters",https://api.xgo.ing/rss/user/971dc1fc90da449bac23e5fad8a33d55,,
X High-Signal Accounts,Sam Altman(@sama),"all,twitters",https://api.xgo.ing/rss/user/e30d4cd223f44bed9d404807105c8927,,
X High-Signal Accounts,Greg Brockman(@gdb),"all,twitters",https://api.xgo.ing/rss/user/af19d054e26a49129f23abfa82d9e268,,
X High-Signal Accounts,Anthropic(@AnthropicAI),"all,twitters",https://api.xgo.ing/rss/user/fc28a211471b496682feff329ec616e5,,
X High-Signal Accounts,Dario Amodei(@DarioAmodei),"all,twitters",https://api.xgo.ing/rss/user/49666ce6fe3e4cb786c6574684542ec5,,
X High-Signal Accounts,Claude(@claudeai),"all,twitters",https://api.xgo.ing/rss/user/01f60d63a61b44d692cc35c7feb0b4a4,,
X High-Signal Accounts,Google DeepMind(@GoogleDeepMind),"all,twitters",https://api.xgo.ing/rss/user/a99538443a484fcc846bdcc8f50745ec,,
