groups,title,xmlUrl,htmlUrl,description
"all,articles",42章经,https://wechat2rss.bestblogs.dev/feed/f6694726ced4ba3d7c7cd65c6edf2160c5978387.xml,,
"all,articles",43 Talks,https://wechat2rss.bestblogs.dev/feed/4efe7ec6970afd4a050d6f10b9e8131a9d5e6816.xml,,
"all,articles",51CTO技术栈,https://wechat2rss.bestblogs.dev/feed/d1fabe6c569ffc44979075dde2f57c65e07c3045.xml,,
"all,articles",AI at Meta Blog,https://rsshub.app/meta/ai/blog,,
"all,articles",AI Musings by Mu,https://kelvinmu.substack.com/feed,,
"all,articles",AINLP,https://wechat2rss.bestblogs.dev/feed/875df1d1a991bf9250ba9813e3148f58ef2240d4.xml,,
"all,articles",AI产品黄叔,https://wechat2rss.bestblogs.dev/feed/1f1030491e15e5349aae42367513d6b3f70a8f8b.xml,,
"all,articles",AI前线,https://wechat2rss.bestblogs.dev/feed/25185b01482da0f485418ecb92e208b4416712fb.xml,,
"all,articles",AI寒武纪,https://wechat2rss.bestblogs.dev/feed/5903009f48a5e4aa44d8ac941a54fe3aafc3e03c.xml,,
"all,articles",AI炼金术,https://wechat2rss.bestblogs.dev/feed/4915f3747653bbb9c7975323c11b768d2b9cd6c9.xml,,
"all,articles",AI科技大本营,https://wechat2rss.bestblogs.dev/feed/dfd3b5e742e32d8032a445832373191957202bf3.xml,,
"all,articles",AI科技评论,https://wechat2rss.bestblogs.dev/feed/789e5fefb9cc2646ba7b680cb7a88378a34eb7a4.xml,,
"all,articles",Anthropic News,https://rsshub.bestblogs.dev/anthropic/news,,
"all,articles",AWS Architecture Blog,http://www.awsarchitectureblog.com/atom.xml,,
"all,articles",AWS Machine Learning Blog,https://aws.amazon.com/blogs/amazon-ai/feed/,,
"all,articles",ByteByteGo Newsletter,https://blog.bytebytego.com/feed,,
"all,articles",Clip设计夹,https://wechat2rss.bestblogs.dev/feed/ebd5f5bd705dd531066eeca5ee500a1e6a269e17.xml,,
"all,articles",CSDN,https://wechat2rss.bestblogs.dev/feed/b0b7f2852aecdcc5a0eb08d33afc1c08b855d98b.xml,,
"all,articles",Databricks,https://www.databricks.com/feed,,
"all,articles",Datawhale,https://wechat2rss.bestblogs.dev/feed/ea0dd8bddfe4fbfb32eaa81a1e1b628d45e97a80.xml,,
"all,articles",David Heinemeier Hansson,https://world.hey.com/dhh/feed.atom,,
"all,articles",dbaplus社群,https://wechat2rss.bestblogs.dev/feed/a92cc44a756e2b9165fed5572aa7337843a73eee.xml,,
"all,articles",deeplearning.ai,https://rsshub.bestblogs.dev/deeplearning/the-batch,,
"all,articles",DeeplearningAI,https://wechat2rss.bestblogs.dev/feed/9d094d066a5faacff0eb0a6b95efbba20d4f1fc9.xml,,
"all,articles",DeepSeek,https://wechat2rss.bestblogs.dev/feed/1709da4f538d4ce4fb6d7a8ba1a5a1c297919601.xml,,
"all,articles",Dify,https://wechat2rss.bestblogs.dev/feed/e46c03a4cb65509e22ab9a8507888a2096319d65.xml,,
"all,articles",Docker,https://www.docker.com/feed/,,
"all,articles",Elastic Blog,https://www.elastic.co/blog/feed,,
"all,articles",Elevate,https://addyo.substack.com/feed,,
"all,articles",ElevenLabs Blog,https://api.bestblogs.dev/feed/elevenLabsBlog,,
"all,articles",Engineering at Meta,https://engineering.fb.com/feed/,,
"all,articles",FireCrawl Blog,https://api.bestblogs.dev/feed/fireCrawlBlog,,
"all,articles",Founder Park,https://wechat2rss.bestblogs.dev/feed/f940695505f2be1399d23cc98182297cadf6f90d.xml,,
"all,articles",freeCodeCamp.org,https://www.freecodecamp.org/news/rss/,,
"all,articles",Gino Notes,https://www.ginonotes.com/feed.xml,,
"all,articles",Google Cloud Blog,https://cloudblog.withgoogle.com/rss/,,
"all,articles",Google DeepMind Blog,https://deepmind.com/blog/feed/basic/,,
"all,articles",Google Developers Blog,https://developers.googleblog.com/feeds/posts/default,,
"all,articles",Grafana Labs,https://grafana.com/categories/engineering/index.xml,,
"all,articles",Groq,https://api.bestblogs.dev/feed/groqBlog,,
"all,articles",HelloGitHub,https://wechat2rss.bestblogs.dev/feed/e6cc80b97bf64eeef61cc5927c78ba6ce3356422.xml,,
"all,articles",Hugging Face,https://wechat2rss.bestblogs.dev/feed/8b68fdb4f24ab2287100988a8cec36363fec4214.xml,,
"all,articles",Hugging Face Blog,https://huggingface.co/blog/feed.xml,,
"all,articles",InfoQ,http://www.infoq.com/rss/rss.action,,
"all,articles",InfoQ 中文,https://wechat2rss.bestblogs.dev/feed/13da94d7eb314b49fa251cb7e8399cae29d772db.xml,,
"all,articles",Jina AI,https://wechat2rss.bestblogs.dev/feed/ff2c5468828ebe7236afd6c1d128e219774487c2.xml,,
"all,articles",LangChain Blog,https://blog.langchain.dev/rss/,,
"all,articles",Last Week in AI,https://lastweekin.ai/feed/,,
"all,articles",Latent Space,https://www.latent.space/feed,,
"all,articles",LlamaIndex Blog,https://www.llamaindex.ai/blog/feed,,
"all,articles",L先生说,https://wechat2rss.bestblogs.dev/feed/31c7fb6f7959a5ff90ae997b536e78b8b3f23321.xml,,
"all,articles",Martin Fowler,https://martinfowler.com/feed.atom,,
"all,articles",Microsoft Azure Blog,https://azure.microsoft.com/en-us/blog/feed/,,
"all,articles",Microsoft Research Blog,http://research.microsoft.com/rss/news.xml,,
"all,articles",MiniMax 稀宇科技,https://wechat2rss.bestblogs.dev/feed/00306b171f754d463b28cf83f3ba086ad009b430.xml,,
"all,articles",MongoDB Blog,https://www.mongodb.com/blog/rss,,
"all,articles",Next.js Blog,https://nextjs.org/feed.xml,,
"all,articles",Node.js Blog,https://nodejs.org/en/feed/blog.xml,,
